"code"	"data"	"source"	"analysis"	"initial_ref"
"20658_array_C"	"array"	"AF"	NA	TRUE
"20667_array_C"	"array"	"AF"	NA	TRUE
"20683_array_C"	"array"	"AF"	NA	TRUE
"20354_array_D"	"array"	"AF"	NA	TRUE
"20362_array_D"	"array"	"AF"	NA	TRUE
"20366_array_D"	"array"	"AF"	NA	TRUE
"20395_array_D"	"array"	"AF"	NA	TRUE
"20406_array_D"	"array"	"AF"	NA	TRUE
"CNRA4A3_array_NA"	"array"	"AF"	NA	TRUE
"CNRA6H5_array_NA"	"array"	"AF"	NA	TRUE
"D12_1_L11_2_array_NA"	"array"	"AF"	NA	TRUE
"D12_11_L29_15_array_NA"	"array"	"AF"	NA	TRUE
"BP409_array_ER"	"array"	"AF"	NA	TRUE
"K4Y17Y2_array_R"	"array"	"AF"	NA	TRUE
"K5_73_4_array_R"	"array"	"AF"	NA	TRUE
"K6_38_4_array_R"	"array"	"AF"	NA	TRUE
"Q121_array_AD"	"array"	"AF"	NA	TRUE
"K4_28_4_array_NA"	"array"	"AF"	NA	TRUE
"K9_34_3_array_NA"	"array"	"AF"	NA	TRUE
"HD_200_094_array_NA"	"array"	"AF"	NA	TRUE
"BGQ2_array_B"	"array"	"AF"	NA	TRUE
"BGQ21_array_B"	"array"	"AF"	NA	TRUE
"BGQ23_array_B"	"array"	"AF"	NA	TRUE
"BGQ10_array_NA"	"array"	"AF"	NA	TRUE
"Can12_array_NA"	"array"	"AF"	NA	TRUE
"Can33_array_NA"	"array"	"AF"	NA	TRUE
"Can34_array_NA"	"array"	"AF"	NA	TRUE
"Can36_array_NA"	"array"	"AF"	NA	TRUE
"BD2_2_array_O"	"array"	"AF"	NA	TRUE
"BD3_1_array_O"	"array"	"AF"	NA	TRUE
"BD3_2_array_O"	"array"	"AF"	NA	TRUE
"BD4_5_array_O"	"array"	"AF"	NA	TRUE
"BD5_2_array_O"	"array"	"AF"	NA	TRUE
"BD5-4_array_O"	"array"	"AF"	NA	TRUE
"IT1_1_array_O"	"array"	"AF"	NA	TRUE
"IT2_1_array_O"	"array"	"AF"	NA	TRUE
"IT3_1_array_O"	"array"	"AF"	NA	TRUE
"IT3_4_array_O"	"array"	"AF"	NA	TRUE
"IT4_1_array_O"	"array"	"AF"	NA	TRUE
"IT5_1_array_O"	"array"	"AF"	NA	TRUE
"KB1_4_array_O"	"array"	"AF"	NA	TRUE
"KB1_5_array_O"	"array"	"AF"	NA	TRUE
"KB2_4_array_O"	"array"	"AF"	NA	TRUE
"KB3_1_array_O"	"array"	"AF"	NA	TRUE
"KB4_1_array_O"	"array"	"AF"	NA	TRUE
"KB4-4_array_O"	"array"	"AF"	NA	TRUE
"MB1_1_array_NA"	"array"	"AF"	NA	TRUE
"MB1_2_array_NA"	"array"	"AF"	NA	TRUE
"MB1_5_array_NA"	"array"	"AF"	NA	TRUE
"MB2_4_array_NA"	"array"	"AF"	NA	TRUE
"MB3_2_array_NA"	"array"	"AF"	NA	TRUE
"MB4_3_array_NA"	"array"	"AF"	NA	TRUE
"ML2_4_array_O"	"array"	"AF"	NA	TRUE
"ML3_2_array_O"	"array"	"AF"	NA	TRUE
"ML4_1_array_O"	"array"	"AF"	NA	TRUE
"ML5_1_array_O"	"array"	"AF"	NA	TRUE
"ML6_2_array_O"	"array"	"AF"	NA	TRUE
"ML6_3_array_O"	"array"	"AF"	NA	TRUE
"ZK2_1_array_O"	"array"	"AF"	NA	TRUE
"ZK2_4_array_O"	"array"	"AF"	NA	TRUE
