"code"	"data"	"source"	"analysis"	"initial_ref"
"S3Y30Y3_kasp"	"seq"	"AF"	NA	FALSE
"S4Y25Y4_kasp"	"seq"	"AF"	NA	FALSE
"S5Y33Y2_kasp"	"seq"	"AF"	NA	FALSE
"S5Y3Y1_kasp"	"seq"	"AF"	NA	FALSE
"S6Y1Y2_kasp"	"seq"	"AF"	NA	FALSE
"S6Y28Y1_kasp"	"seq"	"AF"	NA	FALSE
"SB8Y6Y9_kasp"	"seq"	"AF"	NA	FALSE
"S-142"	"seq"	"VN"	"sample"	FALSE
"S-143"	"seq"	"VN"	"sample"	FALSE
"S-144"	"seq"	"VN"	NA	FALSE
"S-145"	"seq"	"VN"	NA	FALSE
"S-146"	"seq"	"VN"	NA	FALSE
"S-147"	"seq"	"VN"	NA	FALSE
"S-148"	"seq"	"VN"	"sample"	FALSE
"S-149"	"seq"	"VN"	"sample"	FALSE
"S-150"	"seq"	"VN"	"sample"	FALSE
"S-151"	"seq"	"VN"	"sample"	FALSE
"S-152"	"seq"	"VN"	"sample"	FALSE
"S-153"	"seq"	"VN"	"sample"	FALSE
"S-154"	"seq"	"VN"	"sample"	FALSE
"S-155"	"seq"	"VN"	"sample"	FALSE
"S-156"	"seq"	"VN"	"sample"	FALSE
"S-157"	"seq"	"VN"	"sample"	FALSE
"S-158"	"seq"	"VN"	"sample"	FALSE
"20319_kasp"	"seq"	"AF"	NA	TRUE
"20729B_kasp"	"seq"	"AF"	NA	FALSE
